wt,image_id,time,style,gender,survey_id
W,40998,00,oriental,W,171935
W,25390,70,hippie,M,118799
W,28124,80,powersuit,W,150988
W,12527,70,hippie,M,147872
W,11096,00,metrosexual,M,133734
W,12336,80,bold,M,139083
W,01737,50,ivy,M,094680
W,19622,90,lingerie,W,087098
W,00031,50,ivy,M,104027
W,17526,70,hippie,M,070538
W,18462,90,kitsch,W,036315
W,40690,80,bodyconscious,W,047647
W,09460,50,feminine,W,087036
W,04484,90,hiphop,M,228843
W,16693,70,hippie,M,015071
W,25981,80,bold,M,142885
W,18373,50,classic,W,132101
W,12278,80,bold,M,092989
W,15270,60,mods,M,152436
W,49347,80,powersuit,W,157978
W,13634,10,sportivecasual,W,081035
W,18947,90,kitsch,W,073708
W,45796,00,ecology,W,099405
W,05526,10,sportivecasual,W,135649
W,30454,60,minimal,W,158673
W,14700,50,feminine,W,113665
W,03388,00,cityglam,W,105328
W,01394,10,sportivecasual,M,086058
W,04499,10,sportivecasual,M,141533
W,02244,60,space,W,004758
W,03673,10,sportivecasual,W,127251
W,14469,60,space,W,079806
W,11033,90,hiphop,M,118399
W,09001,10,athleisure,W,009785
W,12148,80,bold,M,146198
W,05558,10,sportivecasual,W,121154
W,30688,50,ivy,M,144981
W,10139,80,powersuit,W,025242
W,32524,00,metrosexual,M,211143
W,00490,60,mods,M,125560
W,42674,60,minimal,W,024198
W,09642,19,normcore,W,126260
W,15545,70,hippie,M,157642
W,15517,70,hippie,M,096724
W,32257,90,hiphop,M,104669
W,05186,19,genderless,W,130032
W,13359,80,powersuit,W,120393
W,29415,60,minimal,W,167705
W,19475,90,grunge,W,132883
W,26397,70,hippie,M,156826
W,09861,10,sportivecasual,M,086134
W,00812,90,hiphop,M,021620
W,07658,80,bodyconscious,W,080786
W,16023,80,bold,M,045707
W,10561,50,classic,W,127312
W,11008,50,ivy,M,054366
W,12196,80,bold,M,138197
W,08578,80,bodyconscious,W,123888
W,03925,80,bodyconscious,W,132613
W,14865,60,minimal,W,022974
W,10082,50,ivy,M,001300
W,55196,10,sportivecasual,M,026617
W,15740,70,hippie,M,147113
W,15738,00,metrosexual,M,126790
W,12708,50,ivy,M,114411
W,17454,80,bold,M,075262
W,00951,70,hippie,M,109249
W,01689,60,mods,M,210840
W,19390,70,punk,W,086516
W,07101,60,mods,M,095159
W,18454,50,classic,W,124893
W,16615,90,hiphop,M,107095
W,09132,60,mods,M,047329
W,15294,50,ivy,M,133374
W,29023,00,metrosexual,M,071389
W,00891,70,hippie,M,153145
W,06636,50,ivy,M,107536
W,15791,70,hippie,M,001027
W,15595,00,metrosexual,M,087665
W,00432,90,hiphop,W,127589
W,23512,60,minimal,W,015471
W,03717,10,athleisure,W,122968
W,14266,70,disco,W,115798
W,15503,70,hippie,M,143075
W,03849,10,athleisure,W,124933
W,12408,90,hiphop,M,231756
W,45035,10,sportivecasual,W,152882
W,21898,80,bodyconscious,W,024458
W,17495,90,hiphop,M,018263
W,17743,50,ivy,M,098843
W,27149,50,ivy,M,153793
W,16007,70,hippie,M,111549
W,05422,00,metrosexual,M,080017
W,41633,60,space,W,158665
W,07651,90,kitsch,W,009447
W,34340,80,bodyconscious,W,152838
W,42376,90,grunge,W,150997
W,12214,70,hippie,M,126812
W,12142,80,bold,M,108272
W,17532,70,hippie,M,062983
W,00776,19,normcore,W,134798
W,39725,19,normcore,W,148544
W,51060,50,ivy,M,196175
W,05040,10,sportivecasual,W,122759
W,55212,80,bodyconscious,W,171916
W,00385,50,feminine,W,096030
W,67492,19,lounge,W,203955
W,06636,50,ivy,M,070172
W,07554,70,hippie,W,124445
W,03060,50,feminine,W,098351
W,15600,70,hippie,M,137541
W,29260,00,metrosexual,M,091923
W,08673,90,kitsch,W,117932
W,19617,00,oriental,W,023687
W,17611,19,normcore,M,180166
W,09057,50,classic,W,087852
W,07862,00,cityglam,W,130669
W,05603,10,athleisure,W,120379
W,07810,70,hippie,W,205038
W,13018,50,feminine,W,204608
W,26062,80,bold,M,063263
W,61887,80,powersuit,W,170094
W,09899,50,classic,W,005921
W,21898,80,bodyconscious,W,098329
W,05883,50,ivy,M,145554
W,05469,10,athleisure,W,127071
W,32426,70,hippie,M,147338
W,27619,80,powersuit,W,078191
W,28379,10,sportivecasual,M,144837
W,12084,80,bold,M,013074
W,24016,50,ivy,M,021236
W,27093,60,popart,W,028711
W,17202,60,mods,M,216110
W,02247,50,classic,W,211638
W,30840,60,popart,W,174651
W,15545,70,hippie,M,052689
W,17728,10,sportivecasual,M,121708
W,25650,00,metrosexual,M,193177
W,06781,70,hippie,M,104584
W,12476,90,hiphop,M,087656
W,32860,80,bold,M,153171
W,18297,50,classic,W,209462
W,08717,70,military,W,009676
W,49853,00,oriental,W,159094
W,18729,50,classic,W,007813
W,14461,80,powersuit,W,031695
W,15520,70,hippie,M,038145
W,11080,00,metrosexual,M,124040
W,18694,50,feminine,W,109504
W,21898,80,bodyconscious,W,081942
W,02253,19,normcore,W,130984
W,17703,80,bold,M,043938
W,04475,19,normcore,M,032538
W,15878,80,bold,M,153263
W,03959,50,classic,W,130382
W,07061,90,hiphop,M,125563
W,10817,60,mods,M,121562
W,13951,00,cityglam,W,086660
W,02293,19,normcore,W,059427
W,13070,50,feminine,W,203452
W,12761,50,ivy,M,069234
W,18373,50,classic,W,029840
W,12467,70,hippie,M,014505
W,32975,80,bold,M,147548
W,39793,80,powersuit,W,091277
W,07586,60,minimal,W,188021
W,17108,19,normcore,M,117425
W,15450,00,metrosexual,M,086073
W,02779,90,hiphop,M,111534
W,52140,70,hippie,M,037839
W,50288,10,sportivecasual,W,141951
W,27765,60,mods,M,092598
W,15624,70,hippie,M,065933
W,16082,60,mods,M,137615
W,08287,90,kitsch,W,017691
W,01837,10,sportivecasual,M,075954
W,27728,50,ivy,M,136137
W,12476,90,hiphop,M,111368
W,25390,70,hippie,M,166020
W,00334,70,hippie,W,012494
W,18622,60,minimal,W,131068
W,12761,50,ivy,M,123128
W,17117,19,normcore,M,083192
W,30688,50,ivy,M,012179
W,12961,80,powersuit,W,062557
W,12479,50,ivy,M,152393
W,18424,80,bold,M,015072
W,01477,10,sportivecasual,M,123201
W,15306,80,bold,M,111725
W,18546,50,classic,W,129353
W,34573,10,sportivecasual,W,056099
W,00073,50,ivy,M,138788
W,24569,70,hippie,M,201527
W,08839,10,athleisure,W,008170
W,02769,90,hiphop,M,031958
W,05367,80,bodyconscious,W,122127
W,04302,50,ivy,M,091324
W,31881,80,powersuit,W,169256
W,02744,60,mods,M,015062
W,26486,00,ecology,W,170598
W,07447,50,feminine,W,174027
W,01526,60,mods,M,021666
W,30753,50,ivy,M,121098
W,34352,10,sportivecasual,W,200556
W,19742,60,popart,W,127470
W,04842,70,hippie,W,121425
W,06371,90,lingerie,W,087048
W,02234,19,lounge,W,003947
W,62525,90,hiphop,M,093993
W,07365,19,normcore,M,143147
W,30064,10,sportivecasual,M,147634
W,24917,80,bold,M,106883
W,14345,60,space,W,005460
W,11964,70,hippie,W,007390
W,04636,50,ivy,M,006534
W,16361,80,bold,M,041530
W,09871,19,normcore,M,138060
W,16716,00,metrosexual,M,089109
W,05647,70,punk,W,125194
W,33271,10,sportivecasual,M,001857
W,03556,10,sportivecasual,W,124099
W,24053,60,mods,M,166036
W,05505,60,space,W,041908
W,07950,70,military,W,093699
W,01395,10,athleisure,W,087075
W,15509,10,sportivecasual,M,031919
W,09620,70,hippie,W,098386
W,24087,50,ivy,M,165628
W,18730,50,feminine,W,029856
W,20551,70,hippie,W,155599
W,15815,70,hippie,M,154678
W,31120,90,hiphop,M,046088
W,24263,00,metrosexual,M,030682
W,26188,70,hippie,M,149403
W,29251,10,sportivecasual,M,146159
W,02669,50,ivy,M,139255
W,00495,60,mods,M,089096
W,08104,90,hiphop,W,098363
W,15457,00,metrosexual,M,027207
W,07324,50,ivy,M,036360
W,44918,60,minimal,W,015245
W,04541,10,sportivecasual,M,128883
W,15441,00,metrosexual,M,125589
W,18658,80,powersuit,W,012495
W,27709,00,metrosexual,M,089571
W,07068,10,sportivecasual,M,092984
W,08838,10,athleisure,W,128941
W,11223,60,popart,W,110933
W,00152,50,feminine,W,049219
W,12312,80,bold,M,232280
W,31913,90,hiphop,M,161037
W,06587,19,normcore,M,149469
W,17743,50,ivy,M,110448
W,07675,80,bodyconscious,W,008542
W,15342,80,bold,M,060400
W,08913,10,athleisure,W,097626
W,19228,70,disco,W,121041
W,06049,10,athleisure,W,015302
W,18028,60,space,W,134282
W,05526,10,sportivecasual,W,130769
W,47546,60,minimal,W,155623
W,02726,00,metrosexual,M,146691
W,24491,70,hippie,M,146363
W,30241,80,bold,M,012620
W,10848,50,ivy,M,075940
W,07601,00,ecology,W,110945
W,02765,70,hippie,M,085445
W,24573,00,metrosexual,M,070185
W,01539,60,mods,M,140561
W,08634,00,cityglam,W,076486
W,03573,10,sportivecasual,W,125482
W,24159,60,mods,M,104674
W,16667,19,normcore,M,143680
W,10901,00,ecology,W,133289
W,08810,10,sportivecasual,W,098365
W,12961,80,powersuit,W,022739
W,07369,90,hiphop,M,138215
W,00034,60,mods,M,095965
W,24515,70,hippie,M,143500
W,05628,00,cityglam,W,158685
W,15574,00,metrosexual,M,002413
W,28514,70,hippie,M,226706
W,07290,50,ivy,M,117886
W,04279,70,hippie,M,085090
W,16822,19,normcore,M,147893
W,19264,90,kitsch,W,001353
W,18920,00,oriental,W,130071
W,31662,70,hippie,M,092599
W,31984,10,sportivecasual,M,144812
W,09280,19,normcore,M,142906
W,04709,90,hiphop,M,125555
W,06546,60,mods,M,139073
W,03561,00,cityglam,W,106760
W,26962,90,hiphop,M,103998
W,01380,10,sportivecasual,W,092561
W,05272,10,sportivecasual,W,136554
W,13656,80,powersuit,W,004943
W,10135,50,ivy,M,126810
W,18889,19,genderless,W,004305
W,09136,60,mods,M,216132
T,02527,10,sportivecasual,M,247133
W,16069,00,metrosexual,M,207527
W,25107,70,hippie,M,030687
W,16984,90,hiphop,M,070126
W,04782,50,feminine,W,027035
W,50824,50,ivy,M,182082
W,40668,70,punk,W,106630
W,03092,50,feminine,W,127785
W,06915,00,metrosexual,M,233694
W,24811,60,mods,M,138212
W,08180,80,bodyconscious,W,134292
W,01927,50,feminine,W,089406
W,16578,90,hiphop,M,055889
W,19921,70,punk,W,085720
W,09314,19,lounge,W,024487
W,06682,00,metrosexual,M,123873
W,43573,90,hiphop,W,012039
W,06231,90,hiphop,M,115783
W,04421,00,metrosexual,M,075953
W,26188,70,hippie,M,146580
W,15389,60,mods,M,059816
W,01462,90,hiphop,M,139151
W,64332,80,powersuit,W,085429
W,01630,10,sportivecasual,M,146342
W,13974,19,lounge,W,086529
W,05549,90,hiphop,W,132406
W,17779,80,bold,M,149490
W,12732,90,hiphop,M,083136
W,15439,80,bold,M,137683
W,24295,00,metrosexual,M,181919
W,07386,50,feminine,W,224796
W,11659,50,feminine,W,115438
W,28554,10,sportivecasual,M,187036
W,53113,00,cityglam,W,166907
W,09771,60,mods,M,051358
W,01657,90,hiphop,M,227475
W,12190,60,mods,M,135069
W,29545,90,hiphop,M,149466
W,01561,90,hiphop,M,109259
W,05040,10,sportivecasual,W,124899
W,05260,90,kitsch,W,004386
W,03151,80,bodyconscious,W,126388
W,30027,50,ivy,M,186914
W,07181,10,sportivecasual,M,191469
W,03653,90,hiphop,W,132414
W,36163,19,lounge,W,007728
W,04601,50,ivy,M,142499
W,07490,80,powersuit,W,004426
W,17639,00,metrosexual,M,091338
W,02777,90,hiphop,M,128591
W,16386,80,bold,M,154851
W,29381,90,hiphop,M,180236
W,01259,90,lingerie,W,081315
W,05458,10,athleisure,W,092544
W,17510,19,normcore,M,082362
W,09250,50,ivy,M,140768
W,03634,10,sportivecasual,W,112216
W,24838,70,hippie,M,179280
W,05664,10,athleisure,W,086620
W,15593,70,hippie,M,001335
W,12690,10,sportivecasual,M,142347
W,09283,90,hiphop,M,069171
W,17962,50,ivy,M,148967
W,17310,70,hippie,M,135428
W,18109,70,hippie,W,031408
W,25879,00,metrosexual,M,022227
W,12378,80,bold,M,135030
W,02771,10,sportivecasual,M,036358
W,17320,70,hippie,M,034510
T,17802,19,normcore,M,233705
W,54604,80,powersuit,W,163859
W,06863,60,mods,M,144316
W,26530,00,metrosexual,M,046416
W,11118,00,metrosexual,M,109235
W,03569,10,sportivecasual,W,027893
W,35544,60,minimal,W,159835
W,12866,60,mods,M,138187
W,16655,70,hippie,M,116087
W,24381,70,hippie,M,147563
W,00833,90,hiphop,M,138784
W,15738,00,metrosexual,M,023355
W,13125,80,powersuit,W,123829
W,09479,70,hippie,W,086549
W,18160,50,classic,W,086639
W,13676,19,normcore,W,063138
W,03842,50,feminine,W,021040
W,07628,50,feminine,W,167018
W,16151,60,mods,M,044036
W,15140,80,bold,M,151588
W,42363,10,sportivecasual,W,161516
W,26252,60,mods,M,113299
W,17207,00,metrosexual,M,107162
W,17207,00,metrosexual,M,129554
W,13068,80,powersuit,W,112221
W,01170,90,lingerie,W,130792
W,06099,10,sportivecasual,W,101626
W,00500,19,normcore,M,109254
W,04573,10,sportivecasual,M,042291
W,08498,80,bodyconscious,W,025683
W,29838,10,sportivecasual,M,168655
W,40568,19,normcore,W,176719
W,16319,10,sportivecasual,M,055916
W,24317,70,hippie,M,223727
W,00076,50,ivy,M,143115
W,16501,70,hippie,M,210390
W,24903,80,bold,M,187084
W,17601,70,hippie,M,174229
W,15294,50,ivy,M,122712
W,24728,60,mods,M,209677
W,03984,90,hiphop,W,085251
W,28911,10,sportivecasual,M,087402
W,09123,60,mods,M,069384
W,16155,70,hippie,M,135890
W,18601,50,feminine,W,112177
W,04643,50,ivy,M,140235
W,43964,90,kitsch,W,151014
W,11500,50,feminine,W,007838
W,29830,90,hiphop,M,148787
W,09109,10,sportivecasual,W,043505
W,37426,00,oriental,W,151148
W,19681,00,ecology,W,119934
W,35100,10,sportivecasual,W,151432
W,12336,80,bold,M,016733
W,12805,50,ivy,M,129533
W,00794,19,normcore,M,123261
W,29245,60,minimal,W,050255
W,24122,50,ivy,M,147111
W,12496,80,bold,M,111392
W,11509,80,bodyconscious,W,002281
W,27383,90,hiphop,M,030714
W,08639,10,sportivecasual,W,121437
W,00495,60,mods,M,126794
W,12874,60,mods,M,039825
W,19935,50,feminine,W,037544
W,24816,80,bold,M,154729
W,15442,70,hippie,M,030629
W,06517,50,ivy,M,147386
W,09343,19,lounge,W,125199
W,17320,70,hippie,M,130855
W,04208,50,ivy,M,189345
W,07658,80,bodyconscious,W,135187
W,23410,60,minimal,W,053881
W,14679,80,bodyconscious,W,124346
W,56037,00,oriental,W,197758
W,16084,80,bold,M,075345
W,05558,10,sportivecasual,W,116546
W,18378,50,classic,W,127602
W,30290,50,ivy,M,145538
W,04996,90,kitsch,W,079751
W,19681,00,ecology,W,086644
W,02685,60,mods,M,144657
W,09449,50,feminine,W,047517
W,18675,50,feminine,W,123062
W,03461,19,normcore,W,124217
W,02012,00,oriental,W,081710
W,02085,19,lounge,W,013453
W,15861,60,mods,M,196757
W,04919,00,oriental,W,098389
W,17476,60,mods,M,120832
W,54042,00,cityglam,W,203970
W,15395,50,ivy,M,155947
W,23939,19,normcore,M,148765
W,00017,60,mods,M,141094
W,18707,60,space,W,134784
W,66723,00,ecology,W,197767
W,24577,80,bold,M,147081
W,11422,00,ecology,W,126756
W,10804,50,ivy,M,145820
W,00332,70,disco,W,086641
W,25602,90,hiphop,M,031326
T,03876,90,hiphop,M,196760
W,07344,10,sportivecasual,M,148773
W,06101,10,sportivecasual,W,036383
W,18560,70,military,W,090445
W,06557,60,mods,M,018964
W,05806,10,sportivecasual,W,082528
W,14273,80,bodyconscious,W,134551
W,17365,90,hiphop,M,084068
W,05353,80,bodyconscious,W,120967
W,26874,70,hippie,M,226499
W,09037,10,sportivecasual,W,135507
W,15257,00,metrosexual,M,040377
W,09227,50,ivy,M,143131
W,17185,50,ivy,M,092588
W,12834,19,normcore,M,149502
W,09551,00,cityglam,W,079744
W,53601,80,bold,M,184635
W,02695,50,ivy,M,141460
W,11256,80,bodyconscious,W,128500
W,24109,60,mods,M,195141
W,50261,19,normcore,W,171945
W,12729,00,metrosexual,M,209188
W,15251,60,mods,M,149538
W,08957,19,normcore,W,129452
W,09239,19,normcore,M,147910
W,09404,10,sportivecasual,W,022774
W,06346,10,athleisure,W,004667
W,13990,80,bodyconscious,W,004810
W,16131,80,bold,M,107772
W,03457,60,minimal,W,202290
W,24637,80,bold,M,234274
W,32608,70,hippie,M,026116
W,00163,60,minimal,W,126536
W,09492,50,feminine,W,038117
W,12384,80,bold,M,096758
W,00332,70,disco,W,133517
W,07333,70,hippie,M,133813
W,06097,10,athleisure,W,074946
W,10826,60,mods,M,144824
W,19031,50,classic,W,111289
W,19553,00,ecology,W,033911
W,04253,19,normcore,M,138085
W,24243,70,hippie,M,068333
W,11694,10,sportivecasual,W,045258
W,06672,10,sportivecasual,M,045469
W,11333,00,oriental,W,085515
W,32384,00,metrosexual,M,094651
W,12695,50,ivy,M,118536
W,27840,80,bold,M,147098
W,17663,80,bold,M,001053
W,03959,50,classic,W,122507
T,21987,70,hippie,M,230581
W,37682,19,normcore,W,171912
W,14544,00,cityglam,W,002072
W,29178,90,hiphop,M,062919
W,24403,00,metrosexual,M,027406
W,16939,70,hippie,M,045781
W,12548,70,hippie,M,138661
W,08973,19,normcore,W,120406
W,04522,50,ivy,M,067739
W,07350,00,metrosexual,M,230949
W,15443,70,hippie,M,148977
W,11988,00,oriental,W,125614
W,00191,10,sportivecasual,W,128394
W,03624,10,sportivecasual,W,076337
W,22057,19,genderless,W,158646
W,03673,10,sportivecasual,W,013418
W,38863,60,minimal,W,154327
W,04237,60,mods,M,213706
W,05821,90,kitsch,W,124247
W,00833,90,hiphop,M,060385
W,10122,60,mods,M,135848
W,03816,90,lingerie,W,005388
W,06883,60,mods,M,117879
W,04097,90,grunge,W,005182
W,18160,50,classic,W,214154
W,25678,70,hippie,M,145083
W,29263,10,sportivecasual,M,152441
W,03517,19,normcore,W,131532
W,03510,60,minimal,W,077637
W,04421,00,metrosexual,M,126665
W,19407,19,normcore,W,123509
W,00093,70,hippie,M,080982
W,23200,80,powersuit,W,141948
W,11483,70,hippie,W,087054
W,14328,00,cityglam,W,152581
W,24141,50,ivy,M,081755
W,41279,19,genderless,W,152858
W,16962,60,mods,M,044475
W,08094,10,sportivecasual,W,135297
W,06809,00,metrosexual,M,031344
W,01969,90,lingerie,W,122386
W,59075,00,metrosexual,M,175227
W,14272,80,bodyconscious,W,002306
W,23964,60,mods,M,218636
W,07554,70,hippie,W,117250
W,00072,90,hiphop,M,034529
W,16746,60,mods,M,140228
W,19859,70,punk,W,078976
W,24938,60,mods,M,160210
W,47122,80,powersuit,W,058924
W,07324,50,ivy,M,137048
W,24886,70,hippie,M,055660
W,10810,60,mods,M,196764
W,04885,90,lingerie,W,087031
W,09460,50,feminine,W,113198
W,32131,50,ivy,M,214370
W,17445,80,bold,M,101913
W,17957,80,bold,M,137642
W,11726,50,feminine,W,225722
W,06258,50,ivy,M,108011
W,09021,60,minimal,W,084796
W,19740,70,hippie,W,004091
W,04840,50,feminine,W,011099
W,12821,50,ivy,M,045887
W,18601,50,feminine,W,200084
W,26425,90,hiphop,M,055670
W,16757,00,metrosexual,M,109252
W,40361,90,kitsch,W,093357
W,30522,00,metrosexual,M,017333
W,11367,60,popart,W,043853
W,13081,50,classic,W,085551
W,13137,60,minimal,W,116541
W,16615,90,hiphop,M,083926
W,12803,70,hippie,M,114421
W,11735,70,hippie,W,013439
W,09891,90,hiphop,M,030706
W,17467,19,normcore,M,186768
W,06532,60,mods,M,034290
W,05806,10,sportivecasual,W,004604
W,25168,90,hiphop,M,158004
W,10330,70,hippie,W,108963
W,19945,70,hippie,W,112951
W,34872,70,military,W,155632
W,07150,70,hippie,M,045673
W,02938,90,hiphop,M,013034
W,13958,00,cityglam,W,013842
W,04276,19,normcore,M,114151
W,00474,60,mods,M,030636
W,06287,60,mods,M,068897
W,17746,80,bold,M,086139
W,04287,80,bold,M,228810
W,12548,70,hippie,M,036205
W,05120,50,classic,W,235076
W,51917,00,metrosexual,M,174215
W,17214,70,hippie,M,048670
W,05089,00,cityglam,W,134747
W,00079,60,mods,M,208851
W,16642,50,ivy,M,115787
W,04723,90,hiphop,M,049392
W,14147,70,disco,W,098353
W,26053,10,sportivecasual,M,012664
W,30559,50,ivy,M,035551
W,01248,90,hiphop,W,093082
W,07499,19,normcore,W,029863
W,17185,50,ivy,M,143848
W,14123,70,hippie,W,016362
W,26237,50,ivy,M,161369
W,09755,00,ecology,W,074192
W,12828,50,ivy,M,147786
W,15080,50,ivy,M,041212
W,15305,80,bold,M,115749
W,08402,90,grunge,W,098372
W,15800,90,hiphop,M,086031
W,16703,00,metrosexual,M,017998
W,04603,50,ivy,M,121669
W,09186,10,sportivecasual,M,123226
W,01240,10,athleisure,W,084128
W,00191,10,sportivecasual,W,124333
W,27728,50,ivy,M,149860
W,56131,90,hiphop,M,162938
W,11793,50,classic,W,106780
W,18283,00,cityglam,W,119019
W,05816,10,sportivecasual,W,029854
W,25471,70,hippie,M,035553
W,25543,60,mods,M,147871
W,07810,70,hippie,W,089731
W,05172,70,hippie,W,009026
W,06429,60,minimal,W,130317
W,11052,70,hippie,M,048476
W,14869,60,minimal,W,093706
W,17470,19,normcore,M,086059
W,48367,90,grunge,W,059966
W,03927,60,minimal,W,086631
W,14468,10,sportivecasual,W,134129
W,37381,70,hippie,M,188530
W,08912,90,hiphop,W,135545
W,18471,50,classic,W,215708
W,15344,60,mods,M,205381
W,24263,00,metrosexual,M,228827
W,12663,10,sportivecasual,M,018952
W,13023,80,powersuit,W,081330
W,15815,70,hippie,M,139007
W,29263,10,sportivecasual,M,030691
W,02918,10,sportivecasual,M,148176
W,00528,10,sportivecasual,M,138217
W,15207,60,mods,M,120824
W,12402,00,metrosexual,M,122171
W,07366,70,hippie,M,110458
W,06534,60,mods,M,031922
W,15390,60,mods,M,088084
W,06232,10,sportivecasual,M,081753
W,15645,70,hippie,M,209342
W,28177,70,hippie,M,178765
W,17332,19,normcore,M,107560
W,33169,00,metrosexual,M,146675
W,04740,00,metrosexual,M,142629
W,02047,50,feminine,W,034600
W,00153,60,minimal,W,004700
W,19221,19,normcore,W,116588
W,12035,70,hippie,W,120950
W,05603,10,athleisure,W,123059
W,01726,60,mods,M,073240
W,14838,19,normcore,W,130098
W,24968,60,mods,M,168534
W,27182,10,sportivecasual,M,148184
W,19511,19,genderless,W,122331
W,07648,70,hippie,W,097328
W,18495,50,feminine,W,110965
W,07447,50,feminine,W,059190
W,17513,19,normcore,M,107131
W,27004,90,hiphop,M,145294
W,15467,70,hippie,M,133797
W,16151,60,mods,M,120815
W,06583,50,ivy,M,119438
W,16090,80,bold,M,135752
W,15390,60,mods,M,123263
W,09132,60,mods,M,139671
W,10511,00,ecology,W,133891
W,07834,70,disco,W,134736
W,15346,50,ivy,M,145928
W,17785,90,grunge,W,084940
W,10166,80,powersuit,W,133881
W,05909,10,sportivecasual,M,138415
W,17648,80,bold,M,088505
W,24118,60,mods,M,145074
W,15346,50,ivy,M,118403
W,19752,70,punk,W,003925
W,12881,90,hiphop,M,144960
W,02919,60,mods,M,135881
W,06633,50,ivy,M,018938
W,17855,90,hiphop,M,012679
W,10017,19,normcore,W,055286
W,13688,90,hiphop,W,004719
W,26157,19,normcore,M,170934
W,15344,60,mods,M,140786
W,11266,60,popart,W,135572
W,11735,70,hippie,W,129882
W,05505,60,space,W,080939
W,17219,70,hippie,M,165987
W,16047,70,hippie,M,088537
W,47643,80,powersuit,W,036589
W,11912,50,feminine,W,128844
W,26151,80,bold,M,030688
W,16276,70,hippie,M,006427
W,48687,60,mods,M,159785
W,07207,10,sportivecasual,M,135033
W,10816,60,mods,M,211916
W,00162,60,minimal,W,130772
W,12467,70,hippie,M,149962
W,05671,10,athleisure,W,124708
W,00194,50,classic,W,064037
W,08383,10,athleisure,W,076428
W,00026,10,sportivecasual,M,138640
W,38629,80,powersuit,W,158658
W,44650,90,kitsch,W,115442
W,27184,90,hiphop,M,144510
W,20595,90,kitsch,W,079768
W,19912,70,hippie,W,023668
W,09957,50,feminine,W,106788
W,03849,10,athleisure,W,153891
W,09289,19,normcore,M,081375
W,06730,90,hiphop,M,145550
W,10655,50,feminine,W,003207
W,00041,70,hippie,M,147072
W,05880,60,mods,M,121612
W,15630,50,ivy,M,011565
W,03348,70,hippie,W,066410
W,07601,00,ecology,W,154231
W,06287,60,mods,M,201543
W,00148,60,popart,W,029849
W,15458,70,hippie,M,115756
W,52693,00,metrosexual,M,174207
W,00103,70,hippie,M,046352
W,20317,60,mods,M,015087
W,00709,60,popart,W,039116
W,17775,19,normcore,M,084096
W,13519,00,oriental,W,133585
W,24103,50,ivy,M,107049
W,05879,70,hippie,M,088496
W,05752,60,minimal,W,072167
W,56627,80,powersuit,W,171708
W,09027,60,minimal,W,199694
W,20595,90,kitsch,W,059100
W,18663,19,normcore,W,130191
W,09001,10,athleisure,W,125265
W,06596,90,hiphop,M,147624
W,14866,50,classic,W,006742
W,26201,50,ivy,M,118830
